County;Agency_Name;Trading_Name;Address;Licence_Number;Phone;Email;Website;Covered_Fields
Dublin;Approach People Recruitment Limited;;Quantum House Temple Road Blackrock Co. Dublin;EA1910;+35314003500;info@approachpeople.com;https://approachpeople.com;General Recruitment, Tech & Data Science, Pharma, Sales, Finance & Accounting
Dublin;Argolic Services Ireland Ltd;;Landscape House Baldonnell Business Park Dublin 22 D22P3K7;EA4617;;;;Industrial, Cleaning
Dublin;Art Staff Services (Ireland) Ltd;;Unit 2E JFK Avenue JFK Industrial Estate Naas Road Dublin 12;EA4397;;;;Hospitality
Dublin;Ascend Project Management Limited;;1 Drummartin Road Dundrum Dublin 14;EA5127;+35315394880;info@ascendpm.ie;https://ascendpm.ie;Management
Dublin;Ascendion Engineering Solutions Ireland Limited;;Regus House Dublin Harcourt Centre Block 4 Dublin 2 D02HW77;EA4049;+35314093920;;https://ascendion.com/;Engineering, Tech & Data Science, General Recruitment
Dublin;Ascension Executive Recruitment Limited;;10B Santry Business Park Dublin 9;EA3650;+35314047626;info@ascension.ie;https://ascension.ie;Board level, Sales, Finance & Accounting, Marketing
Dublin;Ashfield Healthcare (Ireland) Limited;;20 Riverwalk Citywest Business Campus Citywest Dublin 24;EA1447;;;https://ashfieldhealth.com/;Healthcare, Pharma, General Recruitment
Dublin;Assured Personnel Ltd;;Unit D3 Airside Business Park Swords Co. Dublin K67 K380;EA4329;+35319685050;;https://assuredireland.com/;General Recruitment, Logistics & Warehousing
Dublin;AT Recruit IT Limited;AT Recruit IT;19B Old Street Malahide Co. Dublin K36AE95;EA4244;+35315313100;hello@atrecruitit.com;https://atrecruitit.com;Tech & Data Science, Technical, Admin & Office
Dublin;Aterim Aerospace Aviation Ltd;Aterim;Block 1, Airvista Office Park Swords Road Dublin 9 D09PK24;EA5027;+353858672413;;https://www.aterim.com/;Aviation, Technical
Dublin;Atlantis Healthcare Ltd;Atlantis Healthcare;51 Bracken Road Sandyford Business Park Dublin 18 D18 CV48;EA5329;+353894872125;info@atlantishealth.ie;https://atlantishealth.ie;Care, Healthcare
Dublin;Attentius Associates Limited;Osborne;13 Fitzwilliam Square East Dublin 2;EA3448;+35316384400;info@osborne.ie;http://www.osborne.ie/;Admin & Office, Finance & Accounting, HR, Board level
Dublin;AuxiliumDei;;6C Parklands Parade Saggart Co. Dublin D24 FY8N;EA5339;+353899871906;info@auxiliumdei.com;https://www.auxiliumdeiemploymentagency.com/;Care
Dublin;Aviation Crew Services Limited;Aviation Crew Services Limited;No 1 Grants Row Lower Mount Street Dublin 2;EA5341;;;;Aviation, Technical
Dublin;Avril Clare Recruitment Ltd;;8 Beckett Hall Carrickmines Wood Brennanstown Road Dublin 18 D18XK33;EA4641;+353872220217;careers@avrilclarerecruitment.ie;https://avrilclarerecruitment.ie;General Recruitment
Dublin;Baig & Mirza Health Services Ltd;Kare Plus Dublin South;Unit F18 Bakers Point Pottery Road Co. Dublin A96 D825;EA4544;;;;Care, Healthcare
Dublin;Balmer Recruitment Ltd;Balmer Dawson Executive Search;34 Grafton St Grafton Buildings Dublin 2;EA4033;+353866738823 | +353868110655;info@balmerdawson.ie;https://balmerdawson.ie/;Board level, Finance & Accounting, Legal
Dublin;Barrett-Hayes Global Recruitment Limited;;13 Adelaide Road Dublin 2 Dublin 2 D02 P950;EA5015;+35314434282;;https://barretthayesrecruitment.com;Board level
Dublin;Barrom Cúram Limited;Barrom Cúram;8 Rossan Court Waterville Blanchardstown Co. Dublin;EA5068;+353874792275;info@barromcuram.com;https://barromcuram.com;Healthcare, Care
Dublin;Barry M. Whelan Recruitment Limited;Excel Recruitment;Suite 336 The Capel Building Mary's Abbey Capel Street Dublin 7;EA2057;+35318717676 | +353864666631;info@excelrecruitment.com;https://excelrecruitment.com;Retail, Hospitality, Healthcare, Industrial, Admin & Office
Dublin;Baylam Home Health Care Ltd;Bayada Home Health Care;Unit 9 2009 Orchard Business Centre Orchard Ave, Citywest Dublin 24 D24FDH5;EA4848;+35314906217;info@bayada.ie;https://www.bayada.ie/;Care, Healthcare
Dublin;BDO Talent Management Limited;;Block 3 Miesian Plaza 52-58 Lower Baggot Street Dublin 2 D02 Y754;EA4434;+35314700000;info@bdo.ie;https://www.bdo.ie;General Recruitment, Finance & Accounting, Admin & Office
Dublin;Belgrave Recruitment Limited;Belgrave Nanny Agency;The Yard Killakee Road Rathfarnham Dublin 16 D16H223;EA2039;+35314934388;info@nanny.ie;https://Nanny.ie;Care, Au Pair
Dublin;Bespoke Recruitment Limited;Bespoke Recruitment Ltd;Suite 10679 5 Fitzwilliam Square Dublin 2 D02 R744;EA3787;+35319065880;info@bespokerecruitment.ie;https://bespokerecruitment.ie;General Recruitment, Finance & Accounting, Pharma, Sales, Tech & Data Science
Dublin;Blake Search Partners Ltd;Blake Serach Partners;Mespil House Sussex Road Dublin 4 D04T4A6;EA5020;+353873567402;info@blakesearch.ie;https://blakesearch.ie/;Board level, Finance & Accounting, Legal, ESG
Dublin;Blue Forge Recruitment;Blur Forge Recruitment;2 Shackleton Close Shackleton Park Lucan Co. Dublin K78W2F8;EA5295;;;;Factory, Logistics & Warehousing, General Recruitment
Dublin;Blue Saffron Ltd;Dangan Group;Unit A Citywest Shopping Centre Citywest Dublin 24;EA4578;+3531800819001;info@dangangroup.ie;https://dangangroup.ie;Security, Cleaning, Facilities
Dublin;Blueberry International;;77 Beechwood Gate Beechwood Hansfield Dublin 15;EA4389;+353879464330;info@blueberry-intl.com;https://blueberry-intl.com/;Care, Healthcare, General Recruitment
Dublin;Bluestones Staffing NI;Bluestones Staffing NI;Floor 3, Block 3 Miesian Plaza Dublin 2 D02Y754;EA5336;+35315314179;info@bluestones-staffing.co.uk;https://bluestones-staffing.co.uk/;Industrial, Driving, Admin & Office
Dublin;BMS Performance Limited;BMS Sales Recruitment Ltd;Workhub 6 Fern Road Sandyford Co. Dublin;EA2091;+35316780110;info@bmsperformance.com;https://bmsperformance.com;Sales, Marketing, Tech & Data Science
Dublin;Bologna Medical Recruitment Limited;Bologna Medical Recruitment;93 Upper Georges Street Dun Laoghaire Co. Dublin A96V1K8;EA3896;+35312544366;info@bolognahealthjobs.com;https://bolognahealthjobs.com;Healthcare
Dublin;Bond Search and Selection (Ireland) Ltd;;Coliemore House Coliemore Road Dalkey Co. Dublin;EA4897;;;;Admin & Office, Finance & Accounting, HR, Engineering
Dublin;Bongiwe Home Carers;;Nesta Self Storage Dublin Storage Unit Glencullen House, Kylemore Dublin 10;EA4969;+35315175055 | +353852756599;;https://bongiwehomecarers.ie;Care
Dublin;Boo Labs Limited;Heron;13 Adelaide Rd Co. Dublin D02P950;EA5399;;;;Tech & Data Science, Remote
Dublin;Boston Energy (Europe) Ltd;;Digital Office Centre, Balheary Industrial Park Balheary Road Swords Co. Dublin K67E5A0;EA4891;;;https://bostonenergy.co.uk/;Energy, Technical
Dublin;Bowler Recruitment Limited;;Suite 10655 26/27 Upper Pembroke Street Dublin 2 D02X361;EA4640;+353876083843;info@bowlerrecruitment.com;https://bowlerrecruitment.com;Legal, Board level
Dublin;Boyden Ireland Limited;;20 Harcourt Street Dublin 2;EA5136;+35319120634;ireland@boyden.com;https://boyden.com;Board level, Consulting
Dublin;Bridge HR Holdings Ltd;Bridge Recruitment;13 Adelaide Road Dublin 2 D02 P950;EA4683;;office@bridgehr.eu;https://bridgehr.eu;HR, Admin & Office, Finance & Accounting, General Recruitment
Dublin;Brightwater Selection (Ireland) Limited;Brightwater Recruitment;36 Merrion Square Dublin 2 D02 RY62;EA1401;+35316621000;dublin@brightwater.ie;https://www.brightwater.ie;Finance & Accounting, Legal, HR, Tech & Data Science, Engineering, Healthcare
Dublin;Brookson Project Ireland Limited;Boomerang Back Office;10 Earlsfort Terrace Dublin Dublin 2;EA4673;;;;Contracting, HR, General Recruitment
Dublin;Brown Oak Recruitment Ltd;;Staybarr House Kylemore Park North Dublin 10 D10WF50;EA4590;+353894619192;info@brownoak.ie;https://brownoak.ie;General Recruitment, Cleaning, Logistics & Warehousing
Dublin;BSS Personnel Limited;BSS Building Staff Solutions;27 - 30 Merchants House Merchants Quay Dublin 8;EA3863;+35317071012;info@buildstaff.ie;https://buildstaff.ie;Construction, Engineering, Management
Dublin;BSS Subcontractors Ltd;BSS Building Staff Solutions;27-30 Merchants House Merchants Quay Dublin 8;EA3772;+35317071012;info@buildstaff.ie;https://buildstaff.ie;Finance & Accounting, General Recruitment
Dublin;Bua Bua Recruitment Limited;Bua Bua Recruitment Limited;23 Adelphi House Upper Georges Street Dun Laoghaire Co. Dublin A96K224;EA5226;+353876613711;ask@buabua.ie;https://buabua.ie;Hospitality, Cleaning, Care
Dublin;C & A Recruitment (Ireland) Ltd;;Unit 9, Keypoint Business Park Rosemount Park Drive, Ballycoolin Dublin 11 D11 W8EF;EA3296;;;;Driving, Logistics & Warehousing, General Recruitment
Dublin;C & B Core Recruitment Limited;Bright Recruitment;1st Floor, Building Two, The Green Dublin Airport Central Dublin Airport, Swords Co. Dublin;EA4453;+35315665247;info@brightrecruitment.ie;https://brightrecruitment.ie/;Admin & Office, Tech & Data Science, Sales, Hospitality
Dublin;Cadent Sourcing Limited;;Unit 3 The Edge Avonmore Road Dublin 24 D24 K07Y;EA4455;+35315666699;hello@cadentsourcing.com;https://cadentsourcing.com;Engineering, Healthcare, Tech & Data Science, Factory
Dublin;CAE Crewing Services Ltd;CAE Crewing Services Ltd;Woodford Business Park Santry Dublin 17;EA5312;;;https://www.cae.com/;Aviation, General Recruitment
Dublin;Caher International Recruitment Consultants Ltd;Global Professional Consultants;Unit 511 Q House Furze Road Sandyford Business Park Dublin 18 D18 YW88;EA3625;;michael@caherconsultancy.ie;;Healthcare
Dublin;Caldera Atlantic Resources Ireland LTD;;57 Amiens St Dublin 1;EA4843;;;https://www.calderaatlantic.com/;General Recruitment, Driving, Security
Dublin;Campbell Rochford Consulting Limited;Campbell Rochford;6-9 Trinity Street Dublin 2 D02 EY47;EA3795;+35319065116;info@campbellrochford.ie;https://www.campbellrochford.ie/;Board level, Legal, Finance & Accounting, HR
Dublin;Canavan Byrne Management;Canavan Byrne;Kingsfurze House Old Lucan Road Dublin 20 D20KK60;EA5343;+35316235908;info@canavanbyrne.ie;https://canavanbyrne.ie;Care, HR, Admin & Office
Dublin;Capital GES Limited;;10 Earlsfort Terrace Dublin 2 D02 T380;EA4211;;info@capital-ges.com;;EOR, General Recruitment, HR
Dublin;Capital Recruitment Limited;Capital Human Resources Group;51 Bracken Road Sandyford Business Park Co. Dublin D18CV48;EA1501;+35312101010;capital@capital.ie;https://capital.ie;Board level, HR, Admin & Office
Dublin;Capital8 Executive Search Ltd;;19 Fitzwilliam Square South Dublin 2 Co. Dublin D02 CD40;EA4651;+353868116693;j.moran@capital8.ie;https://www.capital8.ie/jobs;Board level, Consulting, HR
Dublin;Care Link Medical Ltd;;20 Harcourt Street Dublin 2 D02 H364;EA5108;;info@carelinkinternational.com;https://carelinkinternational.com/;Healthcare, Care
Dublin;Career Management International Consultants Ltd;CMI Recruitment;Clifton House, Fitzwilliam Street Lower, Dublin 2 D02XT91;EA1091;;;;Healthcare, Pharma, Admin & Office
Dublin;Careeriser;Careeriser Limied;77 Camden Street Lower Saint Kevin's Dublin 2 D02XE80;EA5281;+35315789566 | +35315789567;info@careeriser.ie;https://careeriser.ie;General Recruitment, Hospitality, Admin & Office
Dublin;Carrickbracken Limited;Hall Recruitment;No 1 Northumberland Rd Ballsbridge Dublin 4;EA2131;;info@hallrecruitment.ie;https://hallrecruitment.ie;Admin & Office, Facilities, Finance & Accounting, HR
Dublin;Carron Connected Limited;Carron Connected;13 Adelaide Road Dublin 2;EA4867;+3534751005;info@carronconnected.com;https://carronconnected.com;Board level, General Recruitment, Consulting
Dublin;CCM International Limited;CCM Recruitment International;63 Lower Gardiner Street Dublin 1 D01 P6K0;EA1064;+35318366092 | +35318366093;info@ccmrecruitment.com;https://ccmrecruitment.com;Healthcare, General Recruitment
Dublin;Cecilia Onyenemezu;Norlia Recruitment Service;GD House,Tallaght Business Park Whitestown Drive Tallaght, Dublin 24;EA3202;;;;Care, General Recruitment
Dublin;Chapter 3 Consulting Limited;;Hamilton House 28 Fitzwilliam Place Dublin 2 D02P283;EA3867;;;;Consultancy, General Recruitment
Dublin;Chef Jobs Ireland Ltd;;6 Fern Road Sandyford Dublin 18 D18 FP98;EA5035;;;;Hospitality
Dublin;Choice People Staffing Solutions Ltd;Choice People;10B Santry Business Park Santry Dublin 9;EA4577;+35316876461;;https://www.choicepeople.ie;Hospitality, Construction, Admin & Office
Dublin;Christopher Hamilton;Turn Life Science Solutions;74 Seafield Court Killiney Co. Dublin A96 HN72;EA4868;;;;Healthcare, General Recruitment, QA
Dublin;Clarity Recruitment Ventures Limited;Clarity Locums, Clarity Recruitment;10 Merrion Square Dublin 2 D02 DW94;EA3586;+35315325441;enquiries@claritylocums.com;https://www.claritylocums.com/;Pharma, Healthcare
Dublin;Clarity Search Partners Ltd;Clarity Search Partners;56 Fitzwilliam Square Dublin 2 D02X224;EA4089;+35314304805;patrick@claritysearchpartners.ie;https://www.claritysearchpartners.ie;Board level, Finance & Accounting, Legal, General Recruitment
Dublin;Clifden Recruitment Limited;Clifden Recruitment Limited;6 Clifden Road Ballyfermot Co. Dublin D10 AH63;EA4516;+35316971570;clifden.io;https://www.clifden.io/;General Recruitment, Admin & Office, Care
Dublin;Clon Brugh Medical Services Limited;;302C The Wood Clon Brugh Sandyford Dublin 18 D18 P897;EA4880;;;;Care, Healthcare
Dublin;CMV Consulting;;8 Booterstown Avenue Booterstown Blackrock Co. Dublin A94 A4YO;EA2291;+35316686489;info@cmv.ie;http://cmv.ie;Tech & Data Science, Management
Dublin;Communicate Recruitment Solutions (Ireland) Ltd;;Suite 101 9 Pembroke Street Upper Dublin 2;EA4499;;;;Finance & Accounting, Legal, Tech & Data Science
Dublin;Conncare Recruitment Limited;Conncare Recruitment;1 The Crescent Carrickmines Manor Carrickmines Dublin 18 D18N2P9;EA4817;;info@conncare.ie;https://conncare.ie/;Healthcare, Care
Dublin;Connectify Recruitment;;35 Newtown Park Blackrock Co. Dublin;EA5373;;hello@connectifyrecruitment.ie;https://connectifyrecruitment.ie/;Hospitality, Admin & Office
Dublin;Conscia Ltd;;Suite G05 The Masonry Building 151 156 Thomas Street Dublin 8 D08 PY5E;EA4593;;donald@consciatalent.com | hello@consciatalent.com;https://www.consciatalent.com/;Tech & Data Science
Dublin;Consolidated Healthcare Limited;Consolidated Healthcare;Block 1, Blanchhardstown Corporate Park Ballycoolin Road Blanchardstown Dublin 15;EA5267;+353872215017;kieronbyrnes@consolidated.ie;https://www.consolidated.ie;Healthcare, Care
Dublin;Contax Limited;Jobcontax;104 Upper Drumcondra Road Drumcondra Dublin 9 D09 FP29;EA1866;+35317978720;;https://www.jobcontax.com;Engineering, Pharma, Construction, Architecture
Dublin;Core Talent RecruitmentInternational Ltd;Core Talent RecruitmentInternational Ltd;13 Adelaide Road St Kevins Dublin 2;EA5349;;;;Admin & Office, Construction, Hospitality
Dublin;Counter Products Marketing (Ireland) Limited;CPM Ireland;Unit C Cookstown Court, Penthouse Suite Cookstown Industrial Estate Dublin 24 D24 W668;EA1996;+35317080300;;https://www.cpm-int.com/;Sales, Marketing, Retail, Hospitality
Dublin;Cowley Brown Limited;Cowley Brown Recruitment;Bankhouse 331 South Circular Road Dublin 8 D08 VX36;EA4112;+35319695422;info@cowleybrown.com;https://www.cowleybrown.com;Healthcare, Pharma
Dublin;Cowley Recruitment;Cowley Recruitment;Cherry Lodge Cherry Hound The Ward Co. Dublin;EA5274;;;;General Recruitment, Hospitality, Driving
Dublin;Cpl Healthcare Ltd;;Ground Floor One Haddington Buildings Haddington Road Dublin 4 D04 X4C9;EA1673;+35316146000;info@cplhealthcare.com;https://cplhealthcare.com;Healthcare
Dublin;Cpl Solutions Limited;Thornshaw;Ground Floor One Haddington Buildings Haddington Road Dublin 4;EA1450;+35312784671;info@cpl.ie;https://www.cpl.com/ie;Pharma, Healthcare
Dublin;Cpl Solutions Ltd;Flexsource Solutions / Flexsource;Ground Floor One Haddington Buildings Haddington Road Dublin 4;EA1529;+35318295800;info@cpl.ie;https://www.flexsource.ie/;Industrial, Factory, Logistics & Warehousing, Driving
Dublin;Crew Source Limited;;Apartment 65, Block A2 Lansdowne Gate, Lansdowne Valley Long Mile Road Dublin 12;EA5191;+353899799560;info@crewsourcelimited.com;https://crewsourcelimited.com;Hospitality, Logistics & Warehousing
Dublin;Crewit Resourcing Ltd;;3015 Lake Drive Citywest Business Campus Dublin 24 Co. Dublin;EA4655;+35319020688;info@crewit.ie;https://crewitresourcing.com/;Construction, Industrial, Factory
Dublin;Crewlink Ireland Limited;;19 Grange Parade Baldoyle Industrial Estate Dublin 13 D13N29X;EA3419;+35318952065 | +35318952066;recruit@crewlink.ie;https://crewlink.ie;Aviation
Dublin;CRM-Crew Resources Management Ltd;;Suite 3 One Earlsfort Centre Lower Hatch Street Dublin 2;EA5330;;;;Tech & Data Science, Finance & Accounting, Supply Chain, Management
Dublin;Crossell Limited;;Unit G7 Centrepoint Business Park Oak Road Dublin 12;EA2240;+35314603884;info@crossell.ie;https://crossell.ie;Sales, Marketing
Dublin;CSR Staffing Ltd;Circle Talent;Landscape House Baldonnel Business Park Baldonnel Dublin 22 D22 P3PK;EA5390;;;;Logistics & Warehousing, Admin & Office, Hospitality, Construction
Dublin;Curnow Ireland Limited;Curnow Ireland Limited;Fitzwilliam Hall Fitzwilliam Place Dublin 2;EA3881;;;;HR, General Recruitment, Consultancy
Dublin;Daksta (Ireland) Limited;;Ormond Building 31-36 Ormond Quay Upper Dublin 7;EA4219;+35315398480;;https://www.daksta.com/;Healthcare, Construction, Engineering, Tech & Data Science
Dublin;Dame Care Recruitment Ltd;Dame Care;26/27 Upper Pembroke Street Dublin 2 D02X361;EA5372;;;https://damecarerecruitmentagency.com/;Healthcare, Care
Dublin;Darwin Hawkins Limited;;41 Leeson Street Lower Dublin 2 D02 R968;EA4300;+35315294200;info@darwinhawkins.com;https://www.darwinhawkins.com/;Finance & Accounting, Accounting, Board level
Dublin;Datashri Consultants Ireland Limited;Datashri Consultants Ireland Limited;The Basement Waterloo Exchange Co. Dublin D04 E5W7;EA5290;+353892024577;;https://datashri.tworuns.com/;Tech & Data Science, Admin & Office, General Recruitment
Dublin;Davis Nolan Limited;Next Generation;38/39 Baggot Street Lower Dublin 2 D02 TP38;EA3278;+35316629120;enquiries@nextgeneration.ie;https://nextgeneration.ie;Tech & Data Science, Supply Chain, Healthcare
Dublin;Dedicare Healthcare Limited;;The Black Church St Mary's Place Dublin 7 D07 P4AX;EA4603;;;https://www.dedicaregroup.com/en/;Healthcare
Dublin;Deena Energy Services Ltd;Deena Energy;1-2 High Street Balbriggan Co. Dublin K32 DD40;EA4303;+35318410470;info@deenaenergy.com;https://deenaenergy.com;Cleaning, Hospitality, General Recruitment
Dublin;Direct Aero Services Limited;Direct Aero Services Ltd.;Office Suite F6, Unit 2 Holywell Commercial Centre Swords Co. Dublin K67 E7W6;EA1585;+353863857600;info@directaeroservices.com;https://www.directaviation.aero/services/;Aviation, Technical, Industrial
Dublin;Direct Personnel International Limited;Direct Personnel International Ltd.;Office Suite F6 Unit 2 Holywell Commercial Centre Swords Co. Dublin K67 E7W6;EA1173;+35318138400;fly@directpersonnel.com;https://www.directaviation.aero/personnel/;Aviation, General Recruitment
Dublin;Domino HR Ireland Limited;Domino HR Ireland Limited;5th Floor Rear Connaught House 1 Burlington Road Dublin 4;EA5225;+35315645863;info@domino-hr.ie;https://domino-rh.com/agences/domino-hr-dublin/;Healthcare, Admin & Office, Cleaning
Dublin;Drew Consulting Limited;Drew Consulting;Pembroke Hall 38/39 Fitzwilliam Square Dublin 2 D02NX53;EA4027;+353858250130;info@drewconsulting.ie;https://drewconsulting.ie;Architecture, Construction, Engineering
Dublin;Duffy Alexander Recruitment Limited;;The Mews Sunbury Court Dartry Road Dublin 6 D06FP93;EA4493;+35315981798 | +353860331993;info@duffyalexander.ie;https://duffyalexander.ie;Healthcare
Dublin;Dun Laoghaire Powerboat School Ltd;;West Pier Dun Laoghaire Co. Dublin A96A7K7;EA4778;+35312804422 | +35312804423;info@powerboatschool.ie;https://powerboatschool.ie;Maritime, Education
